"relative_sales","product_category","market_research","advertising","customer_satisfaction","influencer","competitors","shipping_time"
8.9,"tools",13.2,26.1,3.8,"no",5,2
3.1,"small_electronics",12.5,18.2,4.6,"no",5,2
13.7,"tools",12.9,24.8,4.2,NA,4,1
5.2,"household_appliances",17.7,24,4.1,"no",7,2
-5.2,"tools",23.1,18.1,4.4,"no",4,2
3.2,"household_appliances",17.6,18.6,4.5,"no",4,2
0.7,"household_appliances",18.6,13.6,4.2,"no",7,1
16.2,"household_appliances",15.6,31.9,3.8,"no",4,4
18.9,"household_appliances",9.4,25.7,4.5,"yes",5,3
7,"household_appliances",18.5,23.8,4.8,"no",6,3
-3.2,"household_appliances",20.7,19.2,3.3,"no",5,3
-4.2,"small_electronics",21.6,24.3,4.3,"no",5,3
8.2,"personal_care",12,21,3.9,"no",5,2
7.3,"household_appliances",9.1,17.6,4.6,"no",7,2
4.4,"tools",14.1,18.2,4,"no",8,2
15.2,"small_electronics",13.8,26.3,4.3,"no",4,2
12.9,"household_appliances",14.7,29.2,4.7,"no",3,3
4.6,"tools",9.4,16.4,4.8,"no",6,3
20.9,"small_electronics",18.4,31.8,4.1,"yes",1,1
14.1,"tools",16,18.7,4.6,"yes",6,1
10.2,"small_electronics",14.9,NA,4.1,"no",3,1
12.6,"personal_care",13.7,20.4,4.1,"no",2,3
2.8,"household_appliances",19.3,23.6,3.4,"no",4,2
-3.1,"tools",19.4,16.6,4.5,"no",4,3
-9.9,"small_electronics",23,20.4,4.7,"no",4,3
9.6,"household_appliances",15.4,21.1,4.7,"no",4,4
8.2,"small_electronics",13.6,21.3,4.9,"no",5,1
8.4,"household_appliances",17.5,16.2,3.1,"yes",4,3
-18.5,"household_appliances",25.6,13.3,4.4,"no",6,1
15.4,"household_appliances",9.4,12.6,4.6,"yes",6,4
12.3,"household_appliances",13.6,22,4.7,"no",6,2
-1.8,"household_appliances",12.6,9.8,2.6,"no",2,1
12,"household_appliances",14.3,25,4.5,"no",5,2
13,"household_appliances",19.7,29.2,4.5,"no",5,1
14.5,"household_appliances",15.8,26.9,3.3,NA,4,3
11.7,"personal_care",13.3,19.3,4.8,"no",1,1
16.6,"household_appliances",10.1,23.2,3,"yes",5,3
1.3,"personal_care",16.9,19.6,4.8,"no",6,2
15.9,"household_appliances",NA,25.8,4.9,"no",5,3
14.5,"household_appliances",17.8,25.7,4.8,"no",6,2
7.3,"personal_care",15.4,27.9,3.1,"no",4,2
-12.9,"tools",20.9,10.3,4.4,"no",5,2
7.4,"tools",10.4,19.9,4.6,"no",6,1
